row_index_0_based,name,id,image_count,era,culture,decoration,shape_feature,texture,root_shape,condition
3818,新石器时代黑陶杯,FA21348A1D97413294083904EAB2EAFE,6,新石器时代,,,,黑陶,杯,完好
2558,新石器时代大汶口文化彩绘红陶背壶,98D8AD42FF3C49FC8E274C319D999984,3,新石器时代,大汶口文化,彩绘,,红陶,背壶,完好
3381,新石器时代龙山文化红褐陶球,D5CC6EAC1762451DBB00877252152C06,6,新石器时代,龙山文化,,,红褐陶,球,完好
2390,新石器时代龙山文化灰陶盆形鼎,8E4AAB9855BC43B296ACFEDF9ADC7170,3,新石器时代,龙山文化,,盆形,灰陶,鼎,完好
3649,新石器时代大汶口文化灰陶单耳杯,EAD251901CE146808A159D96053D56D0,3,新石器时代,大汶口文化,,单耳,灰陶,杯,完好
1888,新石器时代大汶口文化黑衣褐陶瓮,6DC520CEFF8B469E96C99793F6C20555,6,新石器时代,大汶口文化,黑衣,,褐陶,瓮,完好
1903,新石器时代龙山文化黑陶背壶,6ED95495D4AE49D682C20A0261844C2E,6,新石器时代,龙山文化,,背壶,黑陶,壶,完好
1217,新石器时代大汶口文化灰陶环,40530DBB63BF47E79E6F41AEB4283F5B,3,新石器时代,大汶口文化,,,灰陶,环,完好
2816,新石器时代大汶口文化灰陶盉,A97EC58A919940A0A993F608663FF8D6,6,新石器时代,大汶口文化,,,灰陶,盉,完好
3220,新石器时代黑陶单耳壶,C8414046B7EB4B34A5047A13E2CF7A15,6,新石器时代,,,单耳,黑陶,壶,完好
669,新石器时代大汶口文化夹砂灰陶漏器,21BA5FBAB5AB4BC58188278AF381105A,6,新石器时代,大汶口文化,,,夹砂灰陶,漏器,完好
2346,新石器时代龙山文化黑灰陶器,8B11790479E34673867443DB611B2875,6,新石器时代,龙山文化,,,黑灰陶,器,完好
2363,新石器时代龙山文化黑褐陶盖罐,8C5FAEF57E39482AA042C4A53DA6EBAF,7,新石器时代,龙山文化,,盖,黑褐陶,罐,完好
2606,新石器时代龙山文化黑陶薄胎高柄杯,9BE04E18B5594C95BB0FCB50D8E74AD8,7,新石器时代,龙山文化,,"薄胎, 高柄",黑陶,杯,完好
1145,新石器时代黑陶罐,3BF1C86FA5D9434E932CD072B2E90033,3,新石器时代,,,,黑陶,罐,完好
3130,新石器时代龙山文化褐陶器物盖,C02989C894AE4033AB7089FE3A9A9A4D,5,新石器时代,龙山文化,,,褐陶,器物盖,完好
2035,新石器时代大汶口文化褐陶盌,78A30BF5E6D54C0787B56FEB313F3F25,4,新石器时代,大汶口文化,,,褐陶,盌,完好
655,新石器时代大汶口文化泥质灰陶背水壶,20F6EBDDBF93400DB7A5F31989AFB74C,6,新石器时代,大汶口文化,,背水壶,泥质灰陶,壶,完好
3758,新石器时代龙山文化黑陶盆,F4D1ED8D6AEE4083BACE74623EBB4218,4,新石器时代,龙山文化,,,黑陶,盆,完好
2539,新石器时代大汶口文化灰陶镂孔豆,979E3C901DE44FBC9184F19380E93BDB,6,新石器时代,大汶口文化,镂孔,,灰陶,豆,完好
494,新石器时代大汶口文化白陶杯,176feb66f389486f8e7c268fc7c14e60,14,新石器时代,大汶口文化,,,白陶,杯,完好
3925,新石器时代龙山文化白陶鬶,af6ec5cd7a02487a8ad6908831af8bc8,6,新石器时代,龙山文化,,,白陶,鬶,完好
553,新石器时代大汶口文化灰陶镂孔高柄豆,1C7F2AC79CD84743A4A504C5B1D5441C,5,新石器时代,大汶口文化,镂孔,高柄,灰陶,豆,完好
